Country Name,Country Code,Series,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bangladesh,BGD,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Bangladesh,BGD,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Bangladesh,BGD,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,30628909,31037044,30392094,..,..
Barbados,BRB,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Barbados,BRB,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,233.45786,210.89612,..,..,..
Barbados,BRB,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Barbados,BRB,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Barbados,BRB,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Barbados,BRB,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Barbados,BRB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Belarus,BLR,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,471.263680793452,..,..
Belarus,BLR,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,2360.62276,2624.13606,..,..,..
Belarus,BLR,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Belarus,BLR,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Belarus,BLR,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Belarus,BLR,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Belarus,BLR,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,19131,..,..
Belgium,BEL,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,498.77312723922,..,..
Belgium,BEL,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,30740.99927,..,..,..,..
Belgium,BEL,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Belgium,BEL,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Belgium,BEL,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Belgium,BEL,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Belgium,BEL,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Belize,BLZ,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Belize,BLZ,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,125.57487,133.30812,..,..,..
